iter	RMSE
0	2.997765809
1	2.938870739
2	2.886200598
3	2.839043097
4	2.79703631
5	2.760203171
6	2.726807652
7	2.697280729
8	2.671540769
9	2.64965752
10	2.629967397
11	2.611430363
12	2.595667643
13	2.581016188
14	2.568407277
15	2.557055991
16	2.547028254
17	2.538921655
18	2.530948164
19	2.523335729
20	2.517454846
21	2.512337391
22	2.507664571
23	2.503500809
24	2.499981863
25	2.496533423
26	2.493845093
27	2.491280008
28	2.489202777
29	2.487414537
30	2.485856162
31	2.484536056
32	2.482699322
33	2.481389508
34	2.480373495
35	2.479315026
36	2.478221931
37	2.476343685
38	2.4753875
39	2.474037794
40	2.47359433
41	2.472937625
42	2.472434732
43	2.470995464
44	2.470692364
45	2.470160953
46	2.468764164
47	2.467064094
48	2.466275483
49	2.465338647
50	2.464897107
51	2.464519033
52	2.464360851
53	2.464155496
54	2.463095664
55	2.462306205
56	2.46216111
57	2.462079828
58	2.461916832
59	2.461564025
60	2.460595849
61	2.459883026
62	2.458917049
63	2.4586946
64	2.457196593
65	2.456944927
66	2.456840138
67	2.456614424
68	2.456587057
69	2.456094079
70	2.456036043
71	2.455004443
72	2.454974723
73	2.45481582
74	2.454707862
75	2.454585673
76	2.454513376
77	2.454392771
78	2.453769477
79	2.453734856
80	2.452745741
81	2.451218373
82	2.451126628
83	2.451050934
84	2.451015637
85	2.45068274
86	2.450296624
87	2.450198038
88	2.450197507
89	2.448968947
90	2.448913084
91	2.448403128
92	2.448385887
93	2.447525462
94	2.447034917
95	2.446574736
96	2.446534156
97	2.446523612
98	2.44651999
99	2.446124908
100	2.445761407
101	2.445734238
102	2.445254949
103	2.444724725
104	2.44467548
105	2.444646274
106	2.444636361
107	2.4446273
108	2.444624209
109	2.443930931
110	2.443549827
111	2.443418549
112	2.442936887
113	2.442899126
114	2.442750105
115	2.442705194
116	2.442638947
117	2.442418428
118	2.442366043
119	2.441361862
120	2.441238578
121	2.441237938
122	2.441237084
123	2.440996049
124	2.440962849
125	2.440641393
126	2.440635841
127	2.439849261
128	2.439843494
129	2.439794898
130	2.439689266
131	2.439454274
132	2.439429171
133	2.439314657
134	2.438923643
135	2.438920331
136	2.438858789
137	2.438858575
138	2.438857079
139	2.438853126
140	2.438741362
141	2.437915799
142	2.437904683
143	2.437812224
144	2.437810086
145	2.437658936
146	2.437626225
147	2.437510236
148	2.437503929
149	2.43750147
150	2.437131122
151	2.43686915
152	2.43686776
153	2.436867332
154	2.436858778
155	2.436855891
156	2.436640089
157	2.436639875
158	2.436615278
159	2.436612177
160	2.436572072
161	2.436527368
162	2.436527475
163	2.436526085
164	2.43640983
165	2.436410258
166	2.436409188
167	2.436367476
168	2.436366727
169	2.436366513
170	2.436366299
171	2.436366406
172	2.436365979
173	2.436365551
174	2.436365337
175	2.43636523
176	2.436364909
177	2.436364481
178	2.436364267
179	2.436359668
180	2.435590859
181	2.435590538
182	2.435484723
183	2.435462897
184	2.435462255
185	2.435327865
186	2.435327651
187	2.43532733
188	2.435327009
189	2.435326902
190	2.435324441
191	2.435086567
192	2.43508646
193	2.435086567
194	2.434321209
195	2.434203992
196	2.434081524
197	2.433732926
198	2.433631421
199	2.433630993
200	2.433629387
201	2.433628744
202	2.433159066
203	2.433158959
204	2.432987064
205	2.432881886
206	2.432869354
207	2.432868176
208	2.432867533
209	2.432490481
210	2.432476662
211	2.432476233
212	2.432473555
213	2.432473019
214	2.43225865
215	2.432255972
216	2.432255543
217	2.432255008
218	2.432254686
219	2.432254472
220	2.432253722
221	2.432077477
222	2.432077263
223	2.431401307
224	2.431039891
225	2.431038819
226	2.430761075
227	2.430550522
228	2.430549771
229	2.430458212
230	2.43030371
231	2.430219539
232	2.430213749
233	2.429934946
234	2.429925938
235	2.429888189
236	2.429871567
237	2.429866205
238	2.42981741
239	2.42981741
240	2.429546391
241	2.4294741
242	2.429473671
243	2.429473456
244	2.429469917
245	2.429468844
246	2.429467235
247	2.429464876
248	2.42945962
249	2.429457475
250	2.429446534
251	2.42944632
252	2.429445783
253	2.429445891
254	2.429444711
255	2.429443745
256	2.429340667
257	2.429333265
258	2.428805036
259	2.428788192
260	2.428787227
261	2.428787227
262	2.428696566
263	2.428197174
264	2.428197066
265	2.428196423
266	2.428195886
267	2.428195564
268	2.428195349
269	2.428195027
270	2.428194276
271	2.428194169
272	2.428194062
273	2.42819374
274	2.428193418
275	2.42819331
276	2.428190091
277	2.428189984
278	2.428187515
279	2.428181613
280	2.428181506
281	2.428119584
282	2.428117759
283	2.428117759
284	2.428115398
285	2.428115398
286	2.428115291
287	2.427992086
288	2.427992086
289	2.427992086
290	2.427991979
291	2.427886263
292	2.427886155
293	2.427886048
294	2.427854922
295	2.427854815
