iter	Passed	Remaining
0	23	23277
1	48	24448
2	72	24163
3	93	23302
4	113	22590
5	132	21984
6	158	22525
7	177	21973
8	192	21156
9	206	20399
10	220	19860
11	240	19817
12	255	19415
13	273	19288
14	288	18974
15	307	18884
16	325	18804
17	337	18436
18	358	18523
19	375	18387
20	391	18271
21	406	18085
22	422	17936
23	440	17922
24	461	18016
25	479	17975
26	493	17780
27	511	17763
28	525	17585
29	540	17476
30	555	17348
31	568	17185
32	585	17159
33	603	17138
34	620	17103
35	637	17070
36	655	17067
37	675	17094
38	691	17037
39	709	17018
40	721	16887
41	741	16905
42	760	16927
43	780	16963
44	797	16927
45	818	16966
46	836	16967
47	855	16971
48	874	16967
49	893	16971
50	911	16967
51	933	17023
52	947	16922
53	961	16849
54	977	16800
55	994	16768
56	1010	16710
57	1023	16617
58	1039	16580
59	1056	16557
60	1073	16527
61	1089	16490
62	1107	16471
63	1124	16444
64	1141	16416
65	1158	16390
66	1175	16365
67	1194	16367
68	1207	16288
69	1223	16260
70	1240	16232
71	1258	16222
72	1271	16148
73	1288	16121
74	1306	16112
75	1322	16082
76	1337	16032
77	1355	16017
78	1372	16000
79	1385	15933
80	1402	15916
81	1419	15892
82	1436	15876
83	1454	15856
84	1472	15850
85	1488	15818
86	1504	15787
87	1519	15745
88	1530	15671
89	1547	15650
90	1566	15647
91	1586	15655
92	1599	15595
93	1615	15572
94	1632	15546
95	1649	15528
96	1664	15496
97	1677	15439
98	1688	15366
99	1705	15350
100	1722	15329
101	1739	15315
102	1757	15301
103	1776	15302
104	1792	15276
105	1811	15278
106	1827	15251
107	1843	15225
108	1856	15173
109	1875	15173
110	1893	15166
111	1916	15192
112	1935	15191
113	1952	15175
114	1970	15162
115	1987	15144
116	2005	15136
117	2023	15125
118	2042	15120
119	2058	15096
120	2075	15076
121	2088	15028
122	2099	14972
123	2116	14950
124	2132	14928
125	2149	14911
126	2163	14869
127	2179	14849
128	2191	14798
129	2206	14764
130	2220	14732
131	2238	14720
132	2252	14683
133	2270	14674
134	2287	14653
135	2298	14604
136	2317	14600
137	2331	14561
138	2342	14511
139	2359	14494
140	2377	14483
141	2397	14484
142	2410	14444
143	2422	14402
144	2436	14365
145	2453	14353
146	2473	14354
147	2492	14351
148	2506	14313
149	2518	14271
150	2537	14269
151	2553	14247
152	2564	14197
153	2576	14153
154	2592	14135
155	2605	14098
156	2621	14076
157	2635	14043
158	2660	14073
159	2675	14043
160	2690	14022
161	2707	14005
162	2722	13978
163	2736	13949
164	2753	13934
165	2764	13887
166	2775	13845
167	2792	13827
168	2805	13793
169	2818	13761
170	2831	13728
171	2843	13686
172	2860	13675
173	2876	13656
174	2889	13622
175	2901	13583
176	2917	13566
177	2929	13530
178	2943	13500
179	2957	13472
180	2975	13463
181	2989	13437
182	3006	13423
183	3024	13411
184	3039	13389
185	3055	13371
186	3069	13343
187	3083	13320
188	3102	13310
189	3113	13274
190	3127	13246
191	3144	13232
192	3156	13200
193	3168	13165
194	3186	13155
195	3202	13138
196	3221	13132
197	3240	13126
198	3256	13108
199	3270	13082
200	3285	13060
201	3299	13032
202	3317	13024
203	3331	13001
204	3348	12983
205	3364	12967
206	3377	12937
207	3390	12909
208	3403	12882
209	3421	12872
210	3438	12856
211	3450	12825
212	3464	12800
213	3475	12764
214	3491	12748
215	3503	12717
216	3519	12699
217	3533	12674
218	3546	12646
219	3560	12621
220	3572	12593
221	3590	12583
222	3602	12550
223	3618	12536
224	3636	12525
225	3649	12498
226	3665	12482
227	3682	12468
228	3694	12438
229	3713	12432
230	3730	12420
231	3748	12409
232	3763	12390
233	3780	12376
234	3796	12358
235	3812	12343
236	3830	12331
237	3847	12317
238	3865	12307
239	3878	12281
240	3901	12288
241	3917	12271
242	3930	12245
243	3946	12229
244	3963	12214
245	3978	12195
246	3992	12170
247	4009	12156
248	4025	12139
249	4045	12136
250	4066	12134
251	4079	12108
252	4095	12091
253	4109	12070
254	4122	12044
255	4134	12016
256	4153	12007
257	4169	11990
258	4186	11976
259	4204	11967
260	4217	11942
261	4230	11916
262	4247	11903
263	4266	11895
264	4280	11872
265	4294	11850
266	4309	11831
267	4322	11806
268	4334	11779
269	4346	11751
270	4359	11728
271	4373	11704
272	4385	11679
273	4400	11658
274	4412	11631
275	4424	11606
276	4440	11590
277	4456	11573
278	4470	11553
279	4485	11534
280	4497	11507
281	4514	11494
282	4526	11467
283	4538	11441
284	4550	11417
285	4565	11397
286	4576	11370
287	4593	11355
288	4608	11336
289	4620	11312
290	4633	11288
291	4650	11274
292	4664	11254
293	4677	11231
294	4693	11217
295	4705	11190
296	4721	11175
297	4737	11159
298	4749	11134
299	4761	11111
300	4774	11087
301	4785	11060
302	4802	11047
303	4819	11034
304	4836	11020
305	4856	11014
306	4870	10993
307	4886	10979
308	4905	10969
309	4923	10957
310	4938	10940
311	4951	10918
312	4969	10907
313	4982	10884
314	4994	10861
315	5005	10834
316	5019	10815
317	5033	10795
318	5045	10771
319	5057	10746
320	5073	10731
321	5084	10706
322	5097	10684
323	5111	10664
324	5128	10652
325	5141	10629
326	5158	10616
327	5174	10600
328	5185	10576
329	5197	10552
330	5208	10527
331	5221	10505
332	5238	10492
333	5254	10477
334	5268	10458
335	5285	10446
336	5298	10423
337	5310	10400
338	5326	10385
339	5344	10373
340	5357	10353
341	5371	10334
342	5383	10311
343	5395	10289
344	5410	10271
345	5424	10252
346	5438	10234
347	5452	10215
348	5470	10205
349	5487	10191
350	5500	10170
351	5519	10160
352	5530	10137
353	5545	10119
354	5557	10098
355	5569	10075
356	5582	10054
357	5594	10031
358	5610	10018
359	5622	9995
360	5634	9974
361	5647	9952
362	5659	9930
363	5673	9913
364	5688	9897
365	5704	9881
366	5718	9862
367	5734	9848
368	5759	9848
369	5770	9825
370	5783	9805
371	5800	9791
372	5817	9778
373	5833	9764
374	5852	9753
375	5866	9736
376	5880	9717
377	5894	9699
378	5909	9682
379	5925	9667
380	5942	9653
381	5958	9639
382	5971	9619
383	5985	9602
384	6004	9591
385	6018	9573
386	6033	9557
387	6049	9542
388	6064	9525
389	6077	9505
390	6090	9486
391	6105	9470
392	6128	9465
393	6143	9449
394	6155	9428
395	6174	9417
396	6190	9402
397	6205	9385
398	6219	9368
399	6232	9348
400	6247	9332
401	6262	9315
402	6276	9297
403	6292	9282
404	6308	9267
405	6326	9255
406	6340	9238
407	6354	9220
408	6368	9202
409	6380	9182
410	6397	9168
411	6412	9152
412	6427	9135
413	6440	9116
414	6455	9099
415	6472	9086
416	6493	9078
417	6507	9061
418	6523	9045
419	6536	9026
420	6553	9012
421	6566	8994
422	6580	8975
423	6594	8958
424	6610	8943
425	6624	8926
426	6638	8908
427	6653	8892
428	6667	8873
429	6680	8855
430	6696	8840
431	6715	8829
432	6730	8813
433	6747	8799
434	6759	8779
435	6773	8761
436	6791	8749
437	6805	8731
438	6818	8713
439	6833	8697
440	6850	8683
441	6874	8679
442	6888	8660
443	6901	8642
444	6918	8629
445	6934	8613
446	6948	8596
447	6960	8576
448	6974	8558
449	6988	8541
450	7018	8543
451	7034	8528
452	7048	8511
453	7063	8495
454	7077	8477
455	7093	8462
456	7107	8445
457	7120	8426
458	7132	8406
459	7143	8386
460	7154	8365
461	7166	8345
462	7180	8327
463	7191	8307
464	7204	8288
465	7216	8269
466	7228	8249
467	7241	8231
468	7254	8213
469	7268	8195
470	7284	8181
471	7298	8164
472	7311	8146
473	7323	8126
474	7337	8110
475	7353	8095
476	7369	8079
477	7383	8062
478	7395	8044
479	7410	8028
480	7430	8017
