Index,LoT,Time,pH,Temp
1,1,오전 9:01:10,1.08,47.64
2,1,오전 9:01:15,1.12,47.85
3,1,오전 9:01:20,1.12,48.07
4,1,오전 9:01:25,1.14,48.07
5,1,오전 9:01:30,1.15,48.12
6,1,오전 9:01:35,1.16,48.4
7,1,오전 9:01:40,1.19,48.56
8,1,오전 9:01:45,1.24,48.67
9,1,오전 9:01:50,1.35,48.69
10,1,오전 9:01:55,1.37,48.72
11,1,오전 9:02:00,1.4,48.85
12,1,오전 9:02:05,1.46,48.94
13,1,오전 9:02:10,1.48,49.02
14,1,오전 9:02:15,1.48,49.05
15,1,오전 9:02:20,1.49,49.11
16,1,오전 9:02:25,1.56,49.14
17,1,오전 9:02:30,1.6,49.15
18,1,오전 9:02:35,1.6,49.16
19,1,오전 9:02:40,1.61,49.22
20,1,오전 9:02:45,1.66,49.3
21,1,오전 9:02:50,1.69,49.36
22,1,오전 9:02:55,1.74,49.48
23,1,오전 9:03:00,1.76,49.49
24,1,오전 9:03:05,1.79,49.55
25,1,오전 9:03:10,1.81,49.59
26,1,오전 9:03:15,1.87,49.64
27,1,오전 9:03:20,1.89,49.66
28,1,오전 9:03:25,1.9,49.72
29,1,오전 9:03:30,1.9,49.74
30,1,오전 9:03:35,1.92,49.79
31,1,오전 9:03:40,1.93,49.9
32,1,오전 9:03:45,1.93,49.92
33,1,오전 9:03:50,1.94,50.04
34,1,오전 9:03:55,1.94,50.07
35,1,오전 9:04:00,1.96,50.13
36,1,오전 9:04:05,1.97,50.18
37,1,오전 9:04:10,1.97,50.21
38,1,오전 9:04:15,1.98,50.24
39,1,오전 9:04:20,2.01,50.28
40,1,오전 9:04:25,2.01,50.33
41,1,오전 9:04:30,2.01,50.34
42,1,오전 9:04:35,2.03,50.41
43,1,오전 9:04:40,2.04,50.43
44,1,오전 9:04:45,2.06,50.44
45,1,오전 9:04:50,2.07,50.45
46,1,오전 9:04:55,2.11,50.56
47,1,오전 9:05:00,2.11,50.68
48,1,오전 9:05:05,2.15,50.76
49,1,오전 9:05:10,2.19,50.77
50,1,오전 9:05:15,2.28,50.78
51,1,오전 9:05:20,2.28,50.83
52,1,오전 9:05:25,2.3,50.85
53,1,오전 9:05:30,2.34,50.94
54,1,오전 9:05:35,2.36,50.97
55,1,오전 9:05:40,2.39,50.97
56,1,오전 9:05:45,2.49,51.05
57,1,오전 9:05:51,2.5,51.06
58,1,오전 9:05:56,2.54,51.12
59,1,오전 9:06:01,2.56,51.16
60,1,오전 9:06:06,2.59,51.16
61,1,오전 9:06:11,2.6,51.19
62,1,오전 9:06:16,2.6,51.27
63,1,오전 9:06:21,2.67,51.35
64,1,오전 9:06:26,3.51,41.38
65,1,오전 9:06:31,3.05,42.56
66,1,오전 9:06:36,3.31,43.34
67,1,오전 9:06:41,3.88,41.66
68,1,오전 9:06:46,3.13,43.33
69,1,오전 9:06:51,3.21,40.65
70,2,오전 9:07:20,1.04,47.73
71,2,오전 9:07:25,1.04,47.82
72,2,오전 9:07:30,1.06,47.85
73,2,오전 9:07:35,1.07,48.3
74,2,오전 9:07:40,1.07,48.65
75,2,오전 9:07:45,1.17,48.69
76,2,오전 9:07:50,1.21,48.69
77,2,오전 9:07:55,1.29,48.7
78,2,오전 9:08:00,1.29,48.88
79,2,오전 9:08:05,1.3,48.91
80,2,오전 9:08:10,1.36,49.02
81,2,오전 9:08:15,1.37,49.05
82,2,오전 9:08:20,1.38,49.23
83,2,오전 9:08:25,1.4,49.25
84,2,오전 9:08:30,1.41,49.34
85,2,오전 9:08:35,1.43,49.36
86,2,오전 9:08:40,1.45,49.44
87,2,오전 9:08:45,1.46,49.45
88,2,오전 9:08:50,1.49,49.51
89,2,오전 9:08:55,1.54,49.55
90,2,오전 9:09:00,1.54,49.56
91,2,오전 9:09:05,1.58,49.57
92,2,오전 9:09:10,1.64,49.58
93,2,오전 9:09:15,1.67,49.63
94,2,오전 9:09:20,1.71,49.65
95,2,오전 9:09:25,1.8,49.68
96,2,오전 9:09:30,1.84,49.71
97,2,오전 9:09:35,1.84,49.76
98,2,오전 9:09:40,1.89,49.78
99,2,오전 9:09:45,1.89,49.84
100,2,오전 9:09:50,1.92,49.98
101,2,오전 9:09:55,1.94,50.02
102,2,오전 9:10:00,1.96,50.04
103,2,오전 9:10:05,1.97,50.07
104,2,오전 9:10:10,1.98,50.13
105,2,오전 9:10:15,2.01,50.13
106,2,오전 9:10:20,2.02,50.13
107,2,오전 9:10:25,2.07,50.15
108,2,오전 9:10:30,2.08,50.16
109,2,오전 9:10:35,2.08,50.19
110,2,오전 9:10:40,2.1,50.2
111,2,오전 9:10:45,2.11,50.21
112,2,오전 9:10:51,2.16,50.22
113,2,오전 9:10:56,2.18,50.23
114,2,오전 9:11:01,2.2,50.29
115,2,오전 9:11:06,2.25,50.32
116,2,오전 9:11:11,2.26,50.34
117,2,오전 9:11:16,2.28,50.35
118,2,오전 9:11:21,2.3,50.4
119,2,오전 9:11:26,2.33,50.47
120,2,오전 9:11:31,2.37,50.55
121,2,오전 9:11:36,2.39,50.63
122,2,오전 9:11:41,2.46,50.76
123,2,오전 9:11:46,2.49,50.77
124,2,오전 9:11:51,2.52,50.84
125,2,오전 9:11:56,2.52,50.91
126,2,오전 9:12:01,2.54,50.94
127,2,오전 9:12:06,2.55,51.08
128,2,오전 9:12:11,2.66,51.08
129,2,오전 9:12:16,2.72,51.25
130,2,오전 9:12:21,2.74,51.27
131,2,오전 9:12:26,2.75,51.3
132,2,오전 9:12:31,2.82,51.4
133,2,오전 9:12:36,2.86,51.52
134,2,오전 9:12:41,2.9,51.64
135,2,오전 9:12:46,2.91,51.66
136,2,오전 9:12:51,2.94,51.86
137,2,오전 9:12:56,3.38,42.69
138,2,오전 9:12:36,3.31,41.55
139,3,오전 9:13:02,1.14,47.95
140,3,오전 9:13:07,1.22,48.26
141,3,오전 9:13:12,1.25,48.35
142,3,오전 9:13:17,1.27,48.39
143,3,오전 9:13:22,1.3,48.42
144,3,오전 9:13:27,1.31,48.48
145,3,오전 9:13:32,1.34,48.76
146,3,오전 9:13:37,1.34,48.8
147,3,오전 9:13:42,1.35,48.83
148,3,오전 9:13:47,1.37,48.85
149,3,오전 9:13:52,1.39,48.87
150,3,오전 9:13:57,1.39,48.88
151,3,오전 9:14:02,1.41,48.97
152,3,오전 9:14:07,1.46,49
153,3,오전 9:14:12,1.48,49
154,3,오전 9:14:17,1.49,49.17
155,3,오전 9:14:22,1.53,49.17
156,3,오전 9:14:27,1.55,49.19
157,3,오전 9:14:32,1.57,49.31
158,3,오전 9:14:37,1.58,49.32
159,3,오전 9:14:42,1.59,49.38
160,3,오전 9:14:47,1.61,49.39
161,3,오전 9:14:52,1.63,49.42
162,3,오전 9:14:57,1.64,49.43
163,3,오전 9:15:02,1.65,49.45
164,3,오전 9:15:07,1.75,49.46
165,3,오전 9:15:13,1.77,49.48
166,3,오전 9:15:18,1.78,49.49
167,3,오전 9:15:23,1.78,49.62
168,3,오전 9:15:28,1.82,49.63
169,3,오전 9:15:33,1.83,49.66
170,3,오전 9:15:38,1.86,49.68
171,3,오전 9:15:43,1.88,49.74
172,3,오전 9:15:48,1.93,49.74
173,3,오전 9:15:53,1.97,49.77
174,3,오전 9:15:58,1.99,49.8
175,3,오전 9:16:03,2,49.8
176,3,오전 9:16:08,2,49.85
177,3,오전 9:16:13,2.03,49.93
178,3,오전 9:16:18,2.08,49.94
179,3,오전 9:16:23,2.09,49.97
180,3,오전 9:16:28,2.09,50.02
181,3,오전 9:16:33,2.13,50.06
182,3,오전 9:16:38,2.14,50.12
183,3,오전 9:16:43,2.14,50.13
184,3,오전 9:16:48,2.15,50.21
185,3,오전 9:16:53,2.15,50.32
186,3,오전 9:16:58,2.19,50.36
187,3,오전 9:17:03,2.21,50.43
188,3,오전 9:17:08,2.21,50.43
189,3,오전 9:17:13,2.22,50.58
190,3,오전 9:17:18,2.22,50.61
191,3,오전 9:17:23,2.27,50.62
192,3,오전 9:17:28,2.31,50.65
193,3,오전 9:17:33,2.34,50.68
194,3,오전 9:17:38,2.39,50.72
195,3,오전 9:17:43,2.46,50.78
196,3,오전 9:17:48,2.49,50.78
197,3,오전 9:17:53,2.52,50.88
198,3,오전 9:17:58,2.56,50.98
199,3,오전 9:18:03,2.57,51.14
200,3,오전 9:18:08,2.59,51.27
201,3,오전 9:18:13,2.59,51.3
202,3,오전 9:18:18,2.64,51.3
203,3,오전 9:18:23,2.64,51.32
204,3,오전 9:18:28,2.75,51.34
205,3,오전 9:18:33,2.79,51.66
206,3,오전 9:18:38,3.92,43.45
207,3,오전 9:18:43,3.94,43.98
208,4,오전 9:19:28,1.04,47.37
209,4,오전 9:19:33,1.13,48.03
210,4,오전 9:19:38,1.16,48.27
211,4,오전 9:19:43,1.25,48.34
212,4,오전 9:19:48,1.39,48.4
213,4,오전 9:19:53,1.39,48.64
214,4,오전 9:19:58,1.42,48.76
215,4,오전 9:20:03,1.45,48.79
216,4,오전 9:20:08,1.51,48.9
217,4,오전 9:20:13,1.53,49.02
218,4,오전 9:20:18,1.53,49.11
219,4,오전 9:20:23,1.55,49.16
220,4,오전 9:20:28,1.58,49.28
221,4,오전 9:20:33,1.59,49.29
222,4,오전 9:20:38,1.63,49.29
223,4,오전 9:20:43,1.69,49.3
224,4,오전 9:20:48,1.7,49.31
225,4,오전 9:20:53,1.72,49.32
226,4,오전 9:20:58,1.73,49.46
227,4,오전 9:21:03,1.74,49.51
228,4,오전 9:21:08,1.75,49.61
229,4,오전 9:21:13,1.78,49.62
230,4,오전 9:21:18,1.8,49.62
231,4,오전 9:21:23,1.83,49.65
232,4,오전 9:21:28,1.85,49.65
233,4,오전 9:21:33,1.88,49.68
234,4,오전 9:21:38,1.96,49.7
235,4,오전 9:21:43,1.98,49.7
236,4,오전 9:21:48,1.98,49.71
237,4,오전 9:21:53,1.98,49.72
238,4,오전 9:21:58,2.05,49.8
239,4,오전 9:22:03,2.07,49.84
240,4,오전 9:22:08,2.1,49.84
241,4,오전 9:22:13,2.11,49.94
242,4,오전 9:22:18,2.12,50.04
243,4,오전 9:22:23,2.12,50.04
244,4,오전 9:22:28,2.17,50.06
245,4,오전 9:22:33,2.17,50.06
246,4,오전 9:22:38,2.19,50.07
247,4,오전 9:22:43,2.21,50.11
248,4,오전 9:22:48,2.21,50.14
249,4,오전 9:22:53,2.27,50.15
250,4,오전 9:22:58,2.32,50.29
251,4,오전 9:23:03,2.32,50.3
252,4,오전 9:23:08,2.34,50.33
253,4,오전 9:23:13,2.39,50.37
254,4,오전 9:23:18,2.41,50.43
255,4,오전 9:23:23,2.43,50.44
256,4,오전 9:23:28,2.44,50.47
257,4,오전 9:23:33,2.48,50.56
258,4,오전 9:23:38,2.5,50.58
259,4,오전 9:23:43,2.5,50.6
260,4,오전 9:23:48,2.51,50.62
261,4,오전 9:23:53,2.54,50.63
262,4,오전 9:23:58,2.54,50.66
263,4,오전 9:24:03,2.56,50.71
264,4,오전 9:24:08,2.61,50.8
265,4,오전 9:24:13,2.61,50.88
266,4,오전 9:24:18,2.61,51.05
267,4,오전 9:24:23,2.65,51.24
268,4,오전 9:24:28,2.66,51.34
269,4,오전 9:24:33,2.66,51.72
270,4,오전 9:24:38,2.66,51.74
271,4,오전 9:24:43,2.74,51.75
272,4,오전 9:24:48,2.82,51.76
273,4,오전 9:24:53,2.84,51.82
274,4,오전 9:24:58,2.95,51.83
275,4,오전 9:25:03,2.97,52.07
276,4,오전 9:25:08,2.98,52.15
277,5,오전 9:25:33,1.01,47.79
278,5,오전 9:25:38,1.05,48.11
279,5,오전 9:25:43,1.06,48.3
280,5,오전 9:25:48,1.11,48.31
281,5,오전 9:25:53,1.13,48.44
282,5,오전 9:25:58,1.17,48.5
283,5,오전 9:26:03,1.3,48.79
284,5,오전 9:26:08,1.31,48.79
285,5,오전 9:26:13,1.35,48.86
286,5,오전 9:26:18,1.37,48.87
287,5,오전 9:26:23,1.4,48.91
288,5,오전 9:26:28,1.42,48.92
289,5,오전 9:26:33,1.45,48.95
290,5,오전 9:26:38,1.46,48.96
291,5,오전 9:26:43,1.49,48.97
292,5,오전 9:26:48,1.5,49
293,5,오전 9:26:53,1.56,49.15
294,5,오전 9:26:58,1.58,49.17
295,5,오전 9:27:03,1.64,49.32
296,5,오전 9:27:08,1.69,49.33
297,5,오전 9:27:13,1.72,49.33
298,5,오전 9:27:18,1.73,49.37
299,5,오전 9:27:23,1.76,49.4
300,5,오전 9:27:28,1.76,49.46
301,5,오전 9:27:33,1.77,49.51
302,5,오전 9:27:38,1.82,49.52
303,5,오전 9:27:43,1.88,49.63
304,5,오전 9:27:48,1.89,49.65
305,5,오전 9:27:53,1.9,49.69
306,5,오전 9:27:58,1.9,49.76
307,5,오전 9:28:03,1.92,49.8
308,5,오전 9:28:08,1.93,49.8
