Date,LoT,Process Rate
2021-09-06,1,96.38
2021-09-06,2,97.4
2021-09-06,3,95.4
2021-09-06,4,96.35
2021-09-06,5,94.77
2021-09-06,6,83.56
2021-09-06,7,96.25
2021-09-06,8,95.95
2021-09-06,9,96.78
2021-09-06,10,96.51
2021-09-06,11,95.82
2021-09-06,12,96.71
2021-09-06,13,95.59
2021-09-06,14,96.94
2021-09-06,15,96.33
2021-09-06,16,95.91
2021-09-06,17,96.01
2021-09-06,18,96.52
2021-09-06,19,97.19
2021-09-06,20,95.91
2021-09-06,21,96.9
2021-09-06,22,82.06
2021-09-07,1,97.2
2021-09-07,2,81.63
2021-09-07,3,97.37
2021-09-07,4,98.45
2021-09-07,5,98.01
2021-09-07,6,98.02
2021-09-07,7,98.12
2021-09-07,8,96.94
2021-09-07,9,96.36
2021-09-07,10,96.43
2021-09-07,11,97.42
2021-09-07,12,96.63
2021-09-07,13,97.36
2021-09-07,14,96.39
2021-09-07,15,96.71
2021-09-07,16,97.09
2021-09-07,17,97.2
2021-09-07,18,98.1
2021-09-07,19,97.1
2021-09-07,20,96.72
2021-09-07,21,97.7
2021-09-07,22,96.31
2021-09-08,1,83.24
2021-09-08,2,81.51
2021-09-08,3,95.52
2021-09-08,4,95.89
2021-09-08,5,97.35
2021-09-08,6,96.32
2021-09-08,7,95.89
2021-09-08,8,96.44
2021-09-08,9,95.93
2021-09-08,10,96.34
2021-09-08,11,96.65
2021-09-08,12,95.48
2021-09-08,13,96.06
2021-09-08,14,96.16
2021-09-08,15,96.23
2021-09-08,16,96.76
2021-09-08,17,96.58
2021-09-08,18,96.72
2021-09-08,19,96.53
2021-09-08,20,96.87
2021-09-08,21,95.77
2021-09-08,22,95.92
2021-09-09,1,82.12
2021-09-09,2,96.13
2021-09-09,3,95.76
2021-09-09,4,96.96
2021-09-09,5,96.82
2021-09-09,6,96.8
2021-09-09,7,96.28
2021-09-09,8,96.33
2021-09-09,9,96.66
2021-09-09,10,97
2021-09-09,11,96.96
2021-09-09,12,95.79
2021-09-09,13,97.67
2021-09-09,14,95.94
2021-09-09,15,95.61
2021-09-09,16,96.63
2021-09-09,17,97
2021-09-09,18,95.92
2021-09-09,19,95.68
2021-09-09,20,96.29
2021-09-09,21,96.81
2021-09-09,22,96.05
2021-09-10,1,82.82
2021-09-10,2,82.81
2021-09-10,3,97.08
2021-09-10,4,96.27
2021-09-10,5,97.04
2021-09-10,6,95.81
2021-09-10,7,96.42
2021-09-10,8,96.47
2021-09-10,9,96.1
2021-09-10,10,96.7
2021-09-10,11,96.02
2021-09-10,12,95.99
2021-09-10,13,96.44
2021-09-10,14,96.4
2021-09-10,15,96.14
2021-09-10,16,96.92
2021-09-10,17,96.62
2021-09-10,18,96.4
2021-09-10,19,96.03
2021-09-10,20,96.55
2021-09-10,21,96.74
2021-09-10,22,95.96
2021-09-13,1,83.83
2021-09-13,2,82.53
2021-09-13,3,96.19
2021-09-13,4,96.46
2021-09-13,5,95.88
2021-09-13,6,96.33
2021-09-13,7,96.56
2021-09-13,8,96.57
2021-09-13,9,96.14
2021-09-13,10,97.19
2021-09-13,11,95.88
2021-09-13,12,95.57
2021-09-13,13,97
2021-09-13,14,95.7
2021-09-13,15,96.16
2021-09-13,16,96.12
2021-09-13,17,96.16
2021-09-13,18,97.68
2021-09-13,19,96.37
2021-09-13,20,96.91
2021-09-13,21,95.81
2021-09-13,22,81.12
2021-09-14,1,96.43
2021-09-14,2,84.39
2021-09-14,3,96.24
2021-09-14,4,96.88
2021-09-14,5,95.82
2021-09-14,6,96.18
2021-09-14,7,95.78
2021-09-14,8,96.72
2021-09-14,9,96.99
2021-09-14,10,96.76
2021-09-14,11,96.41
2021-09-14,12,96.23
2021-09-14,13,96.92
2021-09-14,14,95.97
2021-09-14,15,96.61
2021-09-14,16,96.54
2021-09-14,17,95.91
2021-09-14,18,96.55
2021-09-14,19,95.75
2021-09-14,20,95.88
2021-09-14,21,96.74
2021-09-14,22,95.66
2021-09-15,1,96.21
2021-09-15,2,82.78
2021-09-15,3,97.18
2021-09-15,4,97
2021-09-15,5,96.11
2021-09-15,6,96.69
2021-09-15,7,96.63
2021-09-15,8,95.73
2021-09-15,9,96.37
2021-09-15,10,96.31
